body_id	name	category	role	host_body_id	mass_kg	radius_m	color_argb	epoch_jd_tdb	a_m	e	i_deg	node_deg	peri_deg	mean_deg	enabled_by_default	notes
enceladus	Enceladus	MOON	MASSIVE	saturn	1.080220e+20	2.521000e+05	FFD8EEFF	2.451545e+06	2.380400e+08	4.700000e-03	9.000000e-03	1.690000e+02	3.000000e+02	6.000000e+01	true	Built-in starter definition placeholder.
tethys	Tethys	MOON	MASSIVE	saturn	6.174490e+20	5.314000e+05	FFD8EEFF	2.451545e+06	2.946700e+08	1.000000e-04	1.090000e+00	2.590000e+02	1.000000e+01	2.400000e+02	true	Built-in starter definition placeholder.
dione	Dione	MOON	MASSIVE	saturn	1.095452e+21	5.613000e+05	FFD8EEFF	2.451545e+06	3.774000e+08	2.200000e-03	2.800000e-02	1.680000e+02	3.100000e+02	2.000000e+01	true	Built-in starter definition placeholder.
rhea	Rhea	MOON	MASSIVE	saturn	2.306518e+21	7.638000e+05	FFD8EEFF	2.451545e+06	5.270400e+08	1.000000e-03	3.450000e-01	1.800000e+02	2.000000e+01	1.400000e+02	true	Built-in starter definition placeholder.
titan	Titan	MOON	MASSIVE	saturn	1.345200e+23	2.574700e+06	FFD3B07D	2.451545e+06	1.221870e+09	2.880000e-02	3.480000e-01	2.800000e+01	1.860000e+02	9.000000e+01	true	Built-in starter definition placeholder.
hyperion	Hyperion	MOON	TRACER	saturn	5.600000e+18	1.350000e+05	FFAA9A7A	2.451545e+06	1.500930e+09	1.042000e-01	4.300000e-01	2.070000e+02	5.300000e+01	2.500000e+02	true	Built-in starter definition placeholder.
iapetus	Iapetus	MOON	MASSIVE	saturn	1.805635e+21	7.346000e+05	FFB7B7A1	2.451545e+06	3.560820e+09	2.860000e-02	1.547000e+01	8.000000e+01	8.500000e+01	3.300000e+02	true	Built-in starter definition placeholder.
phoebe	Phoebe	MOON	TRACER	saturn	8.292000e+18	1.066000e+05	FF9A9A9A	2.451545e+06	1.295200e+10	1.634000e-01	1.752000e+02	2.450000e+02	1.500000e+02	1.400000e+02	true	Built-in starter definition placeholder.
miranda	Miranda	MOON	MASSIVE	uranus	6.590000e+19	2.358000e+05	FFD8EEFF	2.451545e+06	1.293900e+08	1.300000e-03	4.340000e+00	3.264000e+02	6.830000e+01	1.100000e+02	true	Built-in starter definition placeholder.
ariel	Ariel	MOON	MASSIVE	uranus	1.353000e+21	5.789000e+05	FFD8EEFF	2.451545e+06	1.909000e+08	1.200000e-03	2.600000e-01	2.240000e+01	1.150000e+02	2.000000e+01	true	Built-in starter definition placeholder.
umbriel	Umbriel	MOON	MASSIVE	uranus	1.172000e+21	5.847000e+05	FFA2A2A2	2.451545e+06	2.660000e+08	3.900000e-03	1.300000e-01	3.350000e+01	8.470000e+01	2.300000e+02	true	Built-in starter definition placeholder.
titania	Titania	MOON	MASSIVE	uranus	3.527000e+21	7.889000e+05	FFD8EEFF	2.451545e+06	4.359100e+08	1.100000e-03	3.400000e-01	9.980000e+01	2.844000e+02	4.500000e+01	true	Built-in starter definition placeholder.
oberon	Oberon	MOON	MASSIVE	uranus	3.014000e+21	7.614000e+05	FFD8EEFF	2.451545e+06	5.835200e+08	1.400000e-03	7.000000e-02	2.798000e+02	1.044000e+02	1.800000e+02	true	Built-in starter definition placeholder.
puck	Puck	MOON	TRACER	uranus	2.900000e+18	8.100000e+04	FF9A9A9A	2.451545e+06	8.601000e+07	1.000000e-04	3.200000e-01	0.000000e+00	0.000000e+00	3.000000e+02	true	Built-in starter definition placeholder.
naiad	Naiad	MOON	TRACER	neptune	1.900000e+17	3.300000e+04	FF9A9A9A	2.451545e+06	4.822700e+07	3.000000e-04	4.700000e+00	0.000000e+00	0.000000e+00	1.000000e+01	true	Built-in starter definition placeholder.
thalassa	Thalassa	MOON	TRACER	neptune	3.500000e+17	4.000000e+04	FF9A9A9A	2.451545e+06	5.007400e+07	2.000000e-04	2.000000e-01	0.000000e+00	0.000000e+00	5.000000e+01	true	Built-in starter definition placeholder.
despina	Despina	MOON	TRACER	neptune	2.100000e+18	7.400000e+04	FF9A9A9A	2.451545e+06	5.252600e+07	1.000000e-04	1.000000e-01	0.000000e+00	0.000000e+00	1.200000e+02	true	Built-in starter definition placeholder.
galatea	Galatea	MOON	TRACER	neptune	2.120000e+18	8.800000e+04	FF9A9A9A	2.451545e+06	6.195300e+07	2.000000e-04	1.000000e-01	0.000000e+00	0.000000e+00	2.000000e+02	true	Built-in starter definition placeholder.
larissa	Larissa	MOON	TRACER	neptune	4.200000e+18	9.700000e+04	FF9A9A9A	2.451545e+06	7.354800e+07	1.400000e-03	2.000000e-01	0.000000e+00	0.000000e+00	2.600000e+02	true	Built-in starter definition placeholder.
hippocamp	Hippocamp	MOON	TRACER	neptune	2.000000e+17	1.700000e+04	FF9A9A9A	2.451545e+06	1.052830e+08	3.000000e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.000000e+01	true	Built-in starter definition placeholder.
proteus	Proteus	MOON	MASSIVE	neptune	4.400000e+19	2.100000e+05	FF9A9A9A	2.451545e+06	1.176470e+08	5.000000e-04	5.200000e-01	0.000000e+00	0.000000e+00	3.000000e+02	true	Built-in starter definition placeholder.
triton	Triton	MOON	MASSIVE	neptune	2.139000e+22	1.353400e+06	FFD8EEFF	2.451545e+06	3.547590e+08	0.000000e+00	1.568650e+02	1.776000e+02	1.128000e+02	4.500000e+01	true	Built-in starter definition placeholder.
nereid	Nereid	MOON	TRACER	neptune	3.100000e+19	1.700000e+05	FF9A9A9A	2.451545e+06	5.513400e+09	7.507000e-01	7.230000e+00	3.200000e+02	2.500000e+02	1.200000e+02	true	Built-in starter definition placeholder.
charon	Charon	MOON	MASSIVE	pluto	1.586000e+21	6.060000e+05	FFD8EEFF	2.451545e+06	1.959100e+07	0.000000e+00	1.128000e+02	2.230000e+02	0.000000e+00	1.800000e+02	true	Built-in starter definition placeholder.
styx	Styx	MOON	TRACER	pluto	7.500000e+15	8.000000e+03	FF9A9A9A	2.451545e+06	4.265600e+07	5.000000e-03	1.128000e+02	2.230000e+02	0.000000e+00	2.000000e+01	true	Built-in starter definition placeholder.
nix	Nix	MOON	TRACER	pluto	4.500000e+16	2.000000e+04	FF9A9A9A	2.451545e+06	4.869400e+07	3.000000e-03	1.128000e+02	2.230000e+02	0.000000e+00	1.000000e+02	true	Built-in starter definition placeholder.
kerberos	Kerberos	MOON	TRACER	pluto	1.600000e+16	1.300000e+04	FF9A9A9A	2.451545e+06	5.778300e+07	4.000000e-03	1.128000e+02	2.230000e+02	0.000000e+00	2.200000e+02	true	Built-in starter definition placeholder.
hydra	Hydra	MOON	TRACER	pluto	4.800000e+16	2.600000e+04	FF9A9A9A	2.451545e+06	6.473800e+07	5.000000e-03	1.128000e+02	2.230000e+02	0.000000e+00	3.100000e+02	true	Built-in starter definition placeholder.
